Date,Pressure ,Exceed,Outlet,Inlet,Difference,Status
23-05-2004,7.6,0,68.7,106,8.5,normal
24-05-2004,7.8,0,169.4,169.6,3.8,normal
25-05-2004,8.1,0,185.3,132.5,48.7,warning
26-05-2004,8.3,0,105.9,121.9,6.1,normal
27-05-2004,6.6,0,68.8,106,8.5,normal
28-05-2004,4.6,0,169.7,169.6,3.8,normal
29-05-2004,4.1,0,185.6,132.5,48.7,warning
30-05-2004,3.7,0,106.1,121.9,6.1,normal
31-05-2004,3.7,0,69,106,8.5,normal
01-06-2004,4.5,0,169.9,169.6,3.8,normal
02-06-2004,4.8,0,185.8,132.5,48.7,warning
03-06-2004,4.9,0,106.2,121.9,6.1,normal
04-06-2004,4.9,0,69,106,8.5,normal
05-06-2004,4.9,0,169.2,169.6,3.8,normal
06-06-2004,4.9,0,185,132.5,48.7,warning
07-06-2004,4.8,0,105.7,121.9,6.1,normal
08-06-2004,5.1,0,68.7,106,8.5,normal
09-06-2004,6,0,169.5,169.6,3.8,normal
10-06-2004,6.3,0,185.4,132.5,48.7,warning
11-06-2004,6.9,0,106,121.9,6.1,normal
12-06-2004,7.1,0,68.9,106,8.5,normal
13-06-2004,7.1,0,169.5,169.6,3.8,normal
14-06-2004,7.1,0,185.4,132.5,48.7,warning
15-06-2004,7,0,105.9,121.9,6.1,normal
16-06-2004,6.9,0,68.9,106,8.5,normal
17-06-2004,6.8,0,169.2,169.6,3.8,normal
18-06-2004,6.7,0,185.1,132.5,48.7,warning
19-06-2004,6.6,0,105.8,121.9,6.1,normal
20-06-2004,6.5,0,68.7,106,8.5,normal
21-06-2004,6.4,0,169.8,169.6,3.8,normal
22-06-2004,6.3,0,185.7,132.5,48.7,warning
23-06-2004,6.2,0,106.1,121.9,6.1,normal
24-06-2004,6,0,69,106,8.5,normal
25-06-2004,5.9,0,170.2,169.6,3.8,normal
26-06-2004,5.8,0,186.1,132.5,48.7,warning
27-06-2004,5.7,0,106.4,121.9,6.1,normal
28-06-2004,5.6,0,69.1,106,8.5,normal
29-06-2004,5.5,0,170.1,169.6,3.8,normal
30-06-2004,5.5,0,186.1,132.5,48.7,warning
01-07-2004,5.4,0,106.3,121.9,6.1,normal
02-07-2004,5.3,0,69.1,106,8.5,normal
03-07-2004,5.3,0,169.7,169.6,3.8,normal
04-07-2004,5.6,0,185.6,132.5,48.7,warning
05-07-2004,5.5,0,106.1,121.9,6.1,normal
06-07-2004,5.7,0,69,106,8.5,normal
07-07-2004,5.7,0,169.1,169.6,3.8,normal
08-07-2004,5.6,0,184.9,132.5,48.7,warning
09-07-2004,5.6,0,105.7,121.9,6.1,normal
10-07-2004,5.6,0,68.7,106,8.5,normal
11-07-2004,5.6,0,169.4,169.6,3.8,normal
12-07-2004,5.5,0,185.3,132.5,48.7,warning
13-07-2004,5.5,0,105.9,121.9,6.1,normal
14-07-2004,5.5,0,68.8,106,8.5,normal
15-07-2004,5.4,0,169.3,169.6,3.8,normal
16-07-2004,5.4,0,185.2,132.5,48.7,warning
17-07-2004,5.4,0,105.8,121.9,6.1,normal
18-07-2004,5.3,0,68.8,106,8.5,normal
19-07-2004,5.3,0,169.8,169.6,3.8,normal
20-07-2004,5.2,0,185.7,132.5,48.7,warning
21-07-2004,5.1,0,106.1,121.9,6.1,normal
22-07-2004,4.9,0,69,106,8.5,normal
23-07-2004,4.6,0,169.9,169.6,3.8,normal
24-07-2004,4.3,0,185.8,132.5,48.7,warning
25-07-2004,4,0,106.2,121.9,6.1,normal
26-07-2004,4.1,0,69,106,8.5,normal
27-07-2004,3.9,0,169,169.6,3.8,normal
28-07-2004,3.6,0,184.9,132.5,48.7,warning
29-07-2004,3.6,0,105.6,121.9,6.1,normal
30-07-2004,3.6,0,68.7,106,8.5,normal
31-07-2004,3.5,0,169.3,169.6,3.8,normal
01-08-2004,3.5,0,185.2,132.5,48.7,warning
02-08-2004,3.4,0,105.8,121.9,6.1,normal
03-08-2004,3.3,0,68.8,106,8.5,normal
04-08-2004,3.3,0,169.1,169.6,3.8,normal
05-08-2004,3.2,0,185,132.5,48.7,warning
06-08-2004,3.2,0,105.7,121.9,6.1,normal
07-08-2004,3.1,0,68.7,106,8.5,normal
08-08-2004,3,0,169.7,169.6,3.8,normal
09-08-2004,3,0,185.6,132.5,48.7,warning
10-08-2004,2.9,0,106.1,121.9,6.1,normal
11-08-2004,2.8,0,68.9,106,8.5,normal
12-08-2004,2.7,0,169,169.6,3.8,normal
13-08-2004,2.7,0,184.8,132.5,48.7,warning
14-08-2004,2.7,0,105.6,121.9,6.1,normal
15-08-2004,2.6,0,68.7,106,8.5,normal
16-08-2004,2.6,0,169.9,169.6,3.8,normal
17-08-2004,2.5,0,185.8,132.5,48.7,warning
18-08-2004,2.4,0,106.2,121.9,6.1,normal
19-08-2004,2.4,0,69,106,8.5,normal
20-08-2004,2.3,0,169.7,169.6,3.8,normal
21-08-2004,2.2,0,185.6,132.5,48.7,warning
22-08-2004,2.1,0,106.1,121.9,6.1,normal
23-08-2004,2,0,69,106,8.5,normal
24-08-2004,1.9,0,169.9,169.6,3.8,normal
25-08-2004,1.8,0,185.8,132.5,48.7,warning
26-08-2004,1.7,0,106.2,121.9,6.1,normal
27-08-2004,1.6,0,69,106,8.5,normal
28-08-2004,1.5,0,,,,
29-08-2004,1.4,0,,,,
30-08-2004,1.3,0,,,,
31-08-2004,1.3,0,,,,
01-09-2004,1.2,0,,,,
02-09-2004,1.1,0,,,,
03-09-2004,1,0,,,,
04-09-2004,0.9,0,,,,
05-09-2004,0.9,0,,,,
06-09-2004,1.7,0,,,,
07-09-2004,1.7,0,,,,
08-09-2004,1.9,0,,,,
09-09-2004,1.9,0,,,,
10-09-2004,2.5,0,,,,
11-09-2004,2.5,0,,,,
12-09-2004,2.4,0,,,,
13-09-2004,2.3,0,,,,
14-09-2004,2.15,0,,,,
15-09-2004,2.1,0,,,,
16-09-2004,2,0,,,,
17-09-2004,2,0,,,,
18-09-2004,1.9,0,,,,
19-09-2004,1.8,0,,,,
20-09-2004,3.2,0,,,,
21-09-2004,4.5,0,,,,
22-09-2004,5.4,0,,,,
23-09-2004,6.5,0,,,,
24-09-2004,7.7,0,,,,
25-09-2004,8.9,0,,,,
26-09-2004,9.8,0,,,,
27-09-2004,10.7,0,,,,
28-09-2004,11.7,0,,,,
29-09-2004,12.2,0,,,,
30-09-2004,13.7,0,,,,
01-10-2004,14.2,0,,,,
02-10-2004,15.3,0,,,,
03-10-2004,17.1,0,,,,
04-10-2004,17.7,0,,,,
05-10-2004,18.3,0,,,,
06-10-2004,18.6,0,,,,
07-10-2004,18.6,0,,,,
08-10-2004,18.6,0,,,,
09-10-2004,18.5,0,,,,
10-10-2004,18.4,0,,,,
11-10-2004,18.9,0,,,,
12-10-2004,19.2,0,,,,
13-10-2004,19.2,0,,,,
14-10-2004,19.2,0,,,,
15-10-2004,19.1,0,,,,
16-10-2004,19,0,,,,
17-10-2004,18.9,0,,,,
18-10-2004,19.9,0,,,,
19-10-2004,20.3,0,,,,
20-10-2004,20.5,0,,,,
21-10-2004,21,0,,,,
22-10-2004,22.2,0,,,,
23-10-2004,22.9,0,,,,
24-10-2004,23.4,0,,,,
25-10-2004,23.4,0,,,,
26-10-2004,24.8,0,,,,
27-10-2004,27.7,0,,,,
28-10-2004,29.8,0,,,,
29-10-2004,33.1,0,,,,
30-10-2004,37.4,0,,,,
31-10-2004,45,0,,,,
01-11-2004,49.6,0,,,,
02-11-2004,52,0,,,,
03-11-2004,54.4,0,,,,
04-11-2004,57,0,,,,
05-11-2004,58,0,,,,
06-11-2004,63.7,20,,,,
07-11-2004,74.5,50,,,,
08-11-2004,92.8,57,,,,
09-11-2004,109.2,129,,,,
10-11-2004,119.7,133,,,,
11-11-2004,128.1,128,,,,
12-11-2004,131,123,,,,
13-11-2004,146.4,144,,,,
14-11-2004,173.7,158,,,,
15-11-2004,184.8,160,,,,
16-11-2004,192.4,164,,,,
17-11-2004,196.3,166,,,,
18-11-2004,197.1,166,,,,
19-11-2004,197.9,166,,,,
20-11-2004,198.7,165,,,,
21-11-2004,198.7,164,,,,
22-11-2004,198.7,163,,,,
23-11-2004,198.7,162,,,,
24-11-2004,198.7,161,,,,
25-11-2004,197.9,160,,,,
26-11-2004,198.7,159,,,,
27-11-2004,216.6,160,,,,
28-11-2004,225.1,160,,,,
29-11-2004,247,159,,,,
30-11-2004,283.6,159,,,,
01-12-2004,324.2,158,,,,
02-12-2004,363,158,,,,
03-12-2004,401.3,157,,,,
04-12-2004,440.3,157,,,,
05-12-2004,478.4,156,,,,
06-12-2004,516.7,156,,,,
07-12-2004,553.8,155,,,,
08-12-2004,588.1,155,,,,
09-12-2004,616.5,145,,,,
10-12-2004,643.9,131,,,,
11-12-2004,674.1,122,,,,
12-12-2004,706.1,110,,,,
13-12-2004,728.9,106,,,,
14-12-2004,749.2,102,,,,
15-12-2004,773.8,100,,,,
16-12-2004,790.2,98,,,,
17-12-2004,806.8,96,,,,
18-12-2004,812.3,94,,,,
19-12-2004,817.8,92,,,,
20-12-2004,822,90,,,,
21-12-2004,823.4,89,,,,
22-12-2004,823.4,87.5,,,,
23-12-2004,823.4,86.5,,,,
24-12-2004,823.4,86,,,,
25-12-2004,823.4,85,,,,
26-12-2004,823.4,83,,,,
27-12-2004,823.4,81,,,,
28-12-2004,823.4,79,,,,
29-12-2004,820.7,77,,,,
30-12-2004,815.1,75,,,,
31-12-2004,810.9,73,,,,
01-01-2005,805.4,71,,,,
02-01-2005,799.9,69,,,,
03-01-2005,794.4,67,,,,
04-01-2005,790.2,65.5,,,,
05-01-2005,791.6,64,,,,
06-01-2005,3231,759,,,,
07-01-2005,809.6,62,,,,
08-01-2005,822.1,61.5,,,,
09-01-2005,829,61,,,,
10-01-2005,836,60.5,,,,
11-01-2005,843,60,,,,
12-01-2005,850,59.5,,,,
13-01-2005,855.6,59,,,,
14-01-2005,861.2,59,,,,
15-01-2005,866.9,59,,,,
16-01-2005,872.5,58.5,,,,
17-01-2005,876.8,58.5,,,,
18-01-2005,878.2,58.5,,,,
19-01-2005,875.3,58,,,,
20-01-2005,869.7,58,,,,
21-01-2005,864.1,58,,,,
22-01-2005,858.4,57.5,,,,
23-01-2005,852.8,57.5,,,,
24-01-2005,850,57.5,,,,
25-01-2005,854.2,57,,,,
26-01-2005,859.8,57,,,,
27-01-2005,864,57,,,,
28-01-2005,864,57,,,,
29-01-2005,862.6,56.5,,,,
30-01-2005,861.2,56.5,,,,
31-01-2005,858.4,56.5,,,,
01-02-2005,851.4,56.5,,,,
02-02-2005,842.9,56,,,,
03-02-2005,834.6,56,,,,
04-02-2005,829,56,,,,
05-02-2005,824.8,56,,,,
06-02-2005,822,55.5,,,,
07-02-2005,817.8,55.5,,,,
08-02-2005,815.1,55.5,,,,
09-02-2005,810.9,54.5,,,,
10-02-2005,806.8,53.5,,,,
11-02-2005,798.5,52.5,,,,
12-02-2005,792.9,51.6,,,,
13-02-2005,783.3,50.8,,,,
14-02-2005,771,50,,,,
15-02-2005,756,49.2,,,,
16-02-2005,742.4,48.4,,,,
17-02-2005,728.9,47.6,,,,
18-02-2005,715.6,46.8,,,,
19-02-2005,702,46,,,,
20-02-2005,688.7,45.2,,,,
21-02-2005,674.1,44.1,,,,
22-02-2005,658.3,43.6,,,,
23-02-2005,633.4,42.8,,,,
24-02-2005,610,42,,,,
25-02-2005,586.8,41.2,,,,
26-02-2005,562.6,40.4,,,,
27-02-2005,537.6,39.8,,,,
28-02-2005,515.5,38.2,,,,
01-03-2005,495,36.4,,,,
02-03-2005,472.5,34.6,,,,
03-03-2005,450.5,32.6,,,,
04-03-2005,428.9,30.6,,,,
05-03-2005,407.9,28.6,,,,
06-03-2005,387.3,26.6,,,,
07-03-2005,368.2,24.6,,,,
08-03-2005,351.5,22.6,,,,
09-03-2005,336.2,20.6,,,,
10-03-2005,323.2,18.6,,,,
11-03-2005,311.4,16.6,,,,
12-03-2005,300.7,14.8,,,,
13-03-2005,288.3,13.4,,,,
14-03-2005,278.9,12,,,,
15-03-2005,267.8,10.4,,,,
16-03-2005,258.6,8.6,,,,
17-03-2005,250.5,6.8,,,,
18-03-2005,243.4,5,,,,
19-03-2005,236.4,3.2,,,,
20-03-2005,230.3,1.9,,,,
21-03-2005,225.1,1.1,,,,
22-03-2005,223.4,0.4,,,,
23-03-2005,222.5,0,,,,
24-03-2005,221.7,0,,,,
25-03-2005,220.8,0,,,,
26-03-2005,220,0,,,,
27-03-2005,219.2,0,,,,
28-03-2005,218.3,0,,,,
29-03-2005,217.5,0,,,,
30-03-2005,216.6,0,,,,
31-03-2005,215.8,0,,,,
01-04-2005,214.9,0,,,,
02-04-2005,214.1,0,,,,
03-04-2005,213.3,0,,,,
04-04-2005,212.5,0,,,,
05-04-2005,214.9,0,,,,
06-04-2005,236.4,0,,,,
07-04-2005,235.5,0,,,,
08-04-2005,257.7,0,,,,
09-04-2005,256.8,0,,,,
10-04-2005,255.9,0,,,,
11-04-2005,255,0,,,,
12-04-2005,254.1,0,,,,
13-04-2005,253.2,0,,,,
14-04-2005,252.3,0,,,,
15-04-2005,251.4,0,,,,
16-04-2005,250.5,0,,,,
17-04-2005,249.6,0,,,,
18-04-2005,248.7,0,,,,
19-04-2005,247.8,0,,,,
20-04-2005,246.9,0,,,,
21-04-2005,246,0,,,,
22-04-2005,245.2,0,,,,
23-04-2005,244.3,0,,,,
24-04-2005,243.4,0,,,,
25-04-2005,242.5,0,,,,
26-04-2005,241.6,0,,,,
27-04-2005,240.8,0,,,,
28-04-2005,239.9,0,,,,
29-04-2005,239,0,,,,
30-04-2005,237.3,0,,,,
01-05-2005,235.5,0,,,,
02-05-2005,238.1,0,,,,
03-05-2005,236.4,0,,,,
04-05-2005,234.6,0,,,,
05-05-2005,232.9,0,,,,
06-05-2005,231.2,0,,,,
07-05-2005,231.2,0,,,,
08-05-2005,229.4,0,,,,
09-05-2005,227.7,0,,,,
10-05-2005,226,0,,,,
11-05-2005,224.3,0,,,,
12-05-2005,222.6,0,,,,
13-05-2005,220.9,0,,,,
14-05-2005,219.2,0,,,,
15-05-2005,217.5,0,,,,
16-05-2005,215.8,0,,,,
17-05-2005,214.1,0,,,,
18-05-2005,212.5,0,,,,
19-05-2005,210,0,,,,
20-05-2005,207.5,0,,,,
21-05-2005,205.1,0,,,,
22-05-2005,202.7,0,,,,
23-05-2005,200.3,0,,,,
24-05-2005,197.9,0,,,,
25-05-2005,195.5,0,,,,
26-05-2005,193.2,0,,,,
27-05-2005,190.9,0,,,,
28-05-2005,188.7,0,,,,
29-05-2005,186.3,0,,,,
30-05-2005,184,0,,,,
31-05-2005,181.8,0,,,,
01-06-2005,179.5,0,,,,
02-06-2005,177.3,0,,,,
03-06-2005,175.1,0,,,,
04-06-2005,173.7,0,,,,
05-06-2005,171.5,0,,,,
06-06-2005,169.4,0,,,,
07-06-2005,167.2,0,,,,
08-06-2005,165.1,0,,,,
09-06-2005,163.7,0,,,,
10-06-2005,1177,427,,,,
11-06-2005,1153,425,,,,
12-06-2005,1130,423,,,,
13-06-2005,155.6,0,,,,
14-06-2005,153.6,0,,,,
15-06-2005,151.6,0,,,,
16-06-2005,149.6,0,,,,
17-06-2005,147.7,0,,,,
18-06-2005,145.7,0,,,,
19-06-2005,143.8,0,,,,
20-06-2005,141.9,0,,,,
21-06-2005,143.2,0,,,,
22-06-2005,141.9,0,,,,
23-06-2005,140.7,0,,,,
24-06-2005,138.9,0,,,,
25-06-2005,137,0,,,,
26-06-2005,135.2,0,,,,
27-06-2005,133.4,0,,,,
28-06-2005,131.6,0,,,,
29-06-2005,129.9,0,,,,
30-06-2005,128.1,0,,,,
01-07-2005,126.4,0,,,,
02-07-2005,124.7,0,,,,
03-07-2005,123,0,,,,
04-07-2005,121.3,0,,,,
05-07-2005,119.7,0,,,,
06-07-2005,118.6,0,,,,
07-07-2005,117,0,,,,
08-07-2005,115.4,0,,,,
09-07-2005,113.8,0,,,,
10-07-2005,112.3,0,,,,
11-07-2005,110.7,0,,,,
12-07-2005,109.2,0,,,,
13-07-2005,107.7,0,,,,
14-07-2005,106.2,0,,,,
15-07-2005,105.2,0,,,,
16-07-2005,103.8,0,,,,
17-07-2005,102.3,0,,,,
18-07-2005,100.9,0,,,,
19-07-2005,99.5,0,,,,
20-07-2005,98.6,0,,,,
21-07-2005,99.5,0,,,,
22-07-2005,98.1,0,,,,
23-07-2005,97.2,0,,,,
24-07-2005,96.3,0,,,,
25-07-2005,95,0,,,,
26-07-2005,94.1,0,,,,
27-07-2005,93.3,0,,,,
28-07-2005,92.4,0,,,,
29-07-2005,91.5,0,,,,
30-07-2005,90.7,0,,,,
31-07-2005,89.9,0,,,,
01-08-2005,89,0,,,,
02-08-2005,88.2,0,,,,
03-08-2005,87.4,0,,,,
04-08-2005,86.6,0,,,,
05-08-2005,85.8,0,,,,
06-08-2005,85,0,,,,
07-08-2005,84.2,0,,,,
08-08-2005,83.5,0,,,,
09-08-2005,83.1,0,,,,
10-08-2005,82.3,0,,,,
11-08-2005,81.6,0,,,,
12-08-2005,80.8,0,,,,
13-08-2005,80.1,0,,,,
14-08-2005,79.4,0,,,,
15-08-2005,80.5,0,,,,
16-08-2005,81.6,0,,,,
17-08-2005,83.3,0,,,,
18-08-2005,82.7,0,,,,
19-08-2005,81.9,0,,,,
20-08-2005,81.2,0,,,,
21-08-2005,80.5,0,,,,
22-08-2005,79.7,0,,,,
23-08-2005,79.4,0,,,,
24-08-2005,78.7,0,,,,
25-08-2005,77.9,0,,,,
26-08-2005,83.5,0,,,,
27-08-2005,83.1,0,,,,
28-08-2005,82.3,0,,,,
29-08-2005,81.6,0,,,,
30-08-2005,80.8,0,,,,
31-08-2005,80.1,0,,,,
01-09-2005,79.4,0,,,,
02-09-2005,79,0,,,,
03-09-2005,78.3,0,,,,
04-09-2005,72.9,0,,,,
05-09-2005,64.8,0,,,,
06-09-2005,56.7,0,,,,
07-09-2005,52.4,0,,,,
08-09-2005,50.4,0,,,,
09-09-2005,45.7,0,,,,
10-09-2005,40.1,0,,,,
11-09-2005,36.2,0,,,,
12-09-2005,32.5,0,,,,
13-09-2005,29,0,,,,
14-09-2005,25.1,0,,,,
15-09-2005,21.6,0,,,,
16-09-2005,18,0,,,,
17-09-2005,14.9,0,,,,
18-09-2005,11.8,0,,,,
19-09-2005,10,0,,,,
20-09-2005,9.1,0,,,,
21-09-2005,9,0,,,,
22-09-2005,8.9,0,,,,
23-09-2005,10.2,0,,,,
24-09-2005,10.1,0,,,,
25-09-2005,14.6,0,,,,
26-09-2005,15.3,0,,,,
27-09-2005,15.2,0,,,,
28-09-2005,16.5,0,,,,
29-09-2005,18.3,0,,,,
30-09-2005,18.18,0,,,,
01-10-2005,18.18,0,,,,
02-10-2005,18.08,0,,,,
03-10-2005,18.08,0,,,,
04-10-2005,18.3,0,,,,
05-10-2005,18.4,0,,,,
06-10-2005,18.4,0,,,,
07-10-2005,18.3,0,,,,
08-10-2005,18.2,0,,,,
09-10-2005,18.2,0,,,,
10-10-2005,18.2,0,,,,
11-10-2005,18.2,0,,,,
12-10-2005,20.7,0,,,,
13-10-2005,37.4,0,,,,
14-10-2005,104.3,0,,,,
15-10-2005,177.3,0,,,,
16-10-2005,220.9,0,,,,
17-10-2005,251.4,0,,,,
18-10-2005,280.8,0,,,,
19-10-2005,322.2,0,,,,
20-10-2005,373.4,32,,,,
21-10-2005,433.3,32,,,,
22-10-2005,503.4,32,,,,
23-10-2005,571.5,45,,,,
24-10-2005,642.6,78,,,,
25-10-2005,708.9,94,,,,
26-10-2005,790.2,111,,,,
27-10-2005,873.9,139,,,,
28-10-2005,1211,361,,,,
29-10-2005,1426.1,462,,,,
30-10-2005,1487.1,523,,,,
31-10-2005,1539.4,550,,,,
01-11-2005,1582.4,569,,,,
02-11-2005,1622,584,,,,
03-11-2005,1653,596,,,,
04-11-2005,1693,596,,,,
05-11-2005,1739,617,,,,
06-11-2005,1786,631,,,,
